Stock,Name,Count,Volume,Cost,Yesterday,First,LastTradePrice,LastTradeChange,LastTradePercent,AvgPrice,AvgChange,AvgPercent,LowestPrice,HighestPrice,EPS,PE,BuyCount,BuyVolume,BuyPrice,SellCount,SellVolume,SellPrice
ثبهساز,بهساز كاشانه تهران,24444,663675822,2678263597386,4308,4180,4007,-301,-6.99,4035,-273,-6.34,4007,4190,789,5.11,1,15000,4000,4007,74489648,671
دي,بانك دي,23315,1049097215,1583805531703,1462,1470,1535,73,4.99,1510,48,3.28,1442,1535,-413,-3.66,1309,156833080,1535,1570,400144,5
پي پاد,پرداخت الكترونيك پاسارگاد,21363,30456801,585684283230,18320,19230,19230,910,4.97,19230,910,4.97,19230,19230,786,24.47,3218,103011819,19230,19230,10384,44
خپارس,پارس خودرو,20891,813292589,1683458010458,2126,2063,2084,-42,-1.98,2070,-56,-2.63,2063,2102,0,0,3,204939,2081,2081,1200000,12
وبملت,بانك ملت,18176,971327513,4419264140259,4302,4379,4603,301,7,4550,248,5.76,4317,4603,804,5.66,120,14140225,4603,4700,100000,1
خساپا,سايپا,16216,559171972,1950035471705,3470,3410,3518,48,1.38,3487,17,0.49,3361,3574,-296,-11.78,2,19798,3510,3510,140000,2
خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,14667,288226948,1661025045960,5730,5620,5840,110,1.92,5760,30,0.52,5500,5950,40,144,8,174672,5830,5830,5192,1
غزر,صنعتي زر ماكارون,14193,166110971,718944817424,4281,4270,4388,107,2.5,4328,47,1.1,4206,4425,451,9.73,1,10000,4388,4389,474082,8
شپنا,پالايش نفت اصفهان,14163,182739893,1744973892550,9570,9550,9500,-70,-0.73,9550,-20,-0.21,9310,9720,1462,6.53,1,11068,9500,9500,8000,1
خودرو,ايران‌ خودرو,12932,375108439,1409195263609,3722,3660,3786,64,1.72,3757,35,0.94,3651,3849,-69,-54.45,1,200000,3786,3786,281086,2
خزاميا,زامياد,11910,206369300,1561187154730,7430,7350,7710,280,3.77,7570,140,1.88,7110,7800,381,19.87,5,398800,7690,7720,160025,7
شتران,پالايش نفت تهران,11733,209559575,1261896227850,5990,6010,6000,10,0.17,6020,30,0.5,5910,6130,1091,5.52,4,61000,6000,6020,77701,5
شستا,سرمايه گذاري تامين اجتماعي,10958,521885643,731178350560,1385,1378,1403,18,1.3,1401,16,1.16,1361,1417,126,11.12,1,400000,1403,1404,6676,1
گدنا,تهيه توزيع غذاي دنا آفرين فدك,10483,78720228,922047358950,11210,11100,11990,780,6.96,11710,500,4.46,11100,11990,321,36.48,213,2649010,11990,12380,1000,1
وكغدير,بين المللي توسعه ص. معادن غدير,10187,29722602,842114802440,27560,28300,28830,1270,4.61,28330,770,2.79,27570,28870,1731,16.37,4,3876,28800,28830,12592,2
كرمان,س. توسعه و عمران استان كرمان,9890,402829728,674555996873,1582,1628,1692,110,6.95,1675,93,5.88,1614,1692,3,558.33,476,45059833,1692,1700,10000,1
وتجارت,بانك تجارت,9606,530302228,1373224192484,2466,2490,2638,172,6.97,2590,124,5.03,2449,2638,206,12.57,8,2171030,2631,2658,26263,3
خاور,ايران خودرو ديزل,9548,241623518,1313053795090,5430,5390,5460,30,0.55,5430,0,0,5270,5520,0,0,4,298243,5450,5470,24569,1
شبندر,پالايش نفت بندرعباس,9383,78852011,1098142919840,13590,13740,13950,360,2.65,13930,340,2.5,13590,14190,2602,5.35,3,13000,13950,13960,204899,3
وبصادر,بانك صادرات ايران,8950,780640008,2297145154290,2811,2880,2951,140,4.98,2943,132,4.7,2812,2951,4,735.75,6,420454,2951,2951,400000,1
كدما,معدني‌ دماوند,8899,9385958,854268822000,95290,93010,90530,-4760,-5,91020,-4270,-4.48,90530,93990,59,1542.71,0,0,0,0,0,0
فملي,ملي‌ صنايع‌ مس‌ ايران‌,8176,80256469,635025218120,7940,7900,7900,-40,-0.5,7910,-30,-0.38,7870,7990,721,10.97,8,136636,7890,7900,764249,21
ذوب,ذوب آهن اصفهان,6592,150504691,669742143534,4484,4470,4410,-74,-1.65,4450,-34,-0.76,4400,4541,-468,-9.51,3,50877,4408,4408,4632,1
شبريز,پالايش نفت تبريز,6541,33006624,661527518370,20230,19990,19840,-390,-1.93,20040,-190,-0.94,19840,20500,2879,6.96,12,41062,19830,19860,9067,1
پترول,گ.س.وت.ص.پتروشيمي خليج فارس,6519,166090743,448585676783,2608,2615,2741,133,5.1,2701,93,3.57,2540,2748,122,22.14,4,189725,2740,2741,110000,2
خنصير,مهندسي‌نصيرماشين‌,5728,25820419,504969244900,19930,18900,20090,160,0.8,19560,-370,-1.86,18540,20200,232,84.31,2,150992,20090,20100,5339,2
حكشتي,كشتيراني جمهوري اسلامي ايران,5657,38818652,692391705820,17200,17350,17770,570,3.31,17840,640,3.72,17280,18060,1996,8.94,1,10000,17750,17770,14200,2
كي بي سي,شركت كي بي سي,5588,15238708,375961726450,25600,25700,24650,-950,-3.71,24650,-950,-3.71,24350,25700,2786,8.85,6,36757,24600,24750,48360,2
ثاميد,توسعه و عمران اميد,5557,183162309,514318848362,2683,2817,2817,134,4.99,2808,125,4.66,2720,2817,235,11.95,200,25315315,2817,2847,10864,2
كرازي,كارخانجات‌توليدي‌شيشه‌رازي‌,5519,287873016,595278719852,1997,2098,2034,37,1.85,2068,71,3.56,1999,2125,132,15.67,1,6666,2039,2040,170000,2
قثابت,قند ثابت‌ خراسان‌,5364,114124292,421721797639,3689,3571,3818,129,3.5,3695,6,0.16,3505,3850,-28,-131.96,3,37069,3815,3815,200000,1
انرژي,بورس انرژي ايران,5341,11097514,673047459180,60050,59610,61660,1610,2.68,60650,600,1,57500,62350,366,165.71,1,38063,61510,61660,76345,2
وساپا,سرمايه‌گذاري‌ سايپا,5244,72053144,596905442490,8230,8000,8350,120,1.46,8280,50,0.61,7910,8510,232,35.69,2,4802,8340,8370,50531,2
غنوش,نوش‌ مازندران‌,5101,29524127,379572057770,12660,12410,13040,380,3,12860,200,1.58,12070,13250,539,23.86,1,6369,13030,13050,69780,2
فرابورس,فرابورس ايران,4962,37750808,547305843500,14180,14120,14710,530,3.74,14500,320,2.26,13910,14990,257,56.42,2,81951,14710,14720,1343,2
ثعمرا,عمران و توسعه شاهد,4915,24178092,523479570000,21750,21050,21350,-400,-1.84,21650,-100,-0.46,20700,22700,998,21.69,1,7090,21250,21350,17720,1
امين,تامين سرمايه امين,4860,23814000,189444888970,7950,8100,7950,0,0,7960,10,0.13,7800,8150,429,18.55,1,90000,7950,7950,9434,1
ومعادن,توسعه‌معادن‌وفلزات‌,4809,67261120,427293649700,6380,6320,6390,10,0.16,6350,-30,-0.47,6300,6420,693,9.16,6,95783,6340,6400,349967,4
شاروم,پتروشيمي اروميه,4742,5728864,287887077100,49500,51000,49950,450,0.91,50250,750,1.52,49000,51300,1628,30.87,2,2490,49950,50000,9756,11
خمحركه,نيرو محركه‌,4616,50766467,534764921040,10200,10140,10910,710,6.96,10530,330,3.24,9730,10910,102,103.24,85,1449152,10910,11000,2000,1
